[23-Mar-2022 (13:12:10)] ➝ Valid message ➝ a:b:500:d9ed1062c7a640979dfcb9e4773ec6e1:7d6c67d31130ed710043829043461184c08bc416590ab3f57839a25de979099e

[23-Mar-2022 (13:12:15)] ➝ Invalid message, repeated nonce ➝ a:b:500:d9ed1062c7a640979dfcb9e4773ec6e1:7d6c67d31130ed710043829043461184c08bc416590ab3f57839a25de979099e
[23-Mar-2022 (13:51:16)] ➝ Invalid message, repeated nonce ➝ a:b:500:d5bfa990dd884956b4039cc48bb93440:46a4ae5557a37cc82e7305f2c995aabf0976d884b120fc5831cd125d208dd4aa:SHA-256

[23-Mar-2022 (13:51:17)] ➝ Invalid message, repeated nonce ➝ a:b:500:d5bfa990dd884956b4039cc48bb93440:46a4ae5557a37cc82e7305f2c995aabf0976d884b120fc5831cd125d208dd4aa:SHA-256

[23-Mar-2022 (13:51:17)] ➝ Invalid message, repeated nonce ➝ a:b:500:d5bfa990dd884956b4039cc48bb93440:46a4ae5557a37cc82e7305f2c995aabf0976d884b120fc5831cd125d208dd4aa:SHA-256

[23-Mar-2022 (13:51:18)] ➝ Invalid message, repeated nonce ➝ a:b:500:d5bfa990dd884956b4039cc48bb93440:46a4ae5557a37cc82e7305f2c995aabf0976d884b120fc5831cd125d208dd4aa:SHA-256

[23-Mar-2022 (14:02:53)] ➝ Invalid message, HMAC is different ➝ a:b:500:38e5cac1d5894a0db7ef245c093c72f3:1dfaef6f5a2f06f5d205a647ed47bd94b64827fe523303d5fb15d016fb6b6c1c:SHA-256

[23-Mar-2022 (14:02:54)] ➝ Invalid message, repeated nonce ➝ a:b:500:38e5cac1d5894a0db7ef245c093c72f3:1dfaef6f5a2f06f5d205a647ed47bd94b64827fe523303d5fb15d016fb6b6c1c:SHA-256

[23-Mar-2022 (14:02:54)] ➝ Invalid message, repeated nonce ➝ a:b:500:38e5cac1d5894a0db7ef245c093c72f3:1dfaef6f5a2f06f5d205a647ed47bd94b64827fe523303d5fb15d016fb6b6c1c:SHA-256

[23-Mar-2022 (14:24:20)] ➝ Invalid message, HMAC is different ➝ a:b:500:52c95200aaf141019f400c557def8c31:81f32b51413747d9bdf55fd94b10da03890299bc8e54a6930870ce4d881f64b7:SHA-256

[23-Mar-2022 (14:24:21)] ➝ Invalid message, repeated nonce ➝ a:b:500:52c95200aaf141019f400c557def8c31:81f32b51413747d9bdf55fd94b10da03890299bc8e54a6930870ce4d881f64b7:SHA-256

[23-Mar-2022 (14:26:11)] ➝ Invalid message, HMAC is different ➝ a:b:500:3a6bab5c4a724dc4819f7cedbdd22af7:2c6411b9e59dbf83ea9c3fd5998a00048655c51ee461bf3a7f07e66c7ac69874:SHA-256

[23-Mar-2022 (14:26:19)] ➝ Invalid message, repeated nonce ➝ a:b:500:3a6bab5c4a724dc4819f7cedbdd22af7:2c6411b9e59dbf83ea9c3fd5998a00048655c51ee461bf3a7f07e66c7ac69874:SHA-256

[23-Mar-2022 (14:27:40)] ➝ Invalid message, HMAC is different ➝ a:b:500:0812740ae47c44e5913242d026859914:ee462715df462baeb439edbeb7fa4f01e8b8f83b90d9b5d2877b226a5a5b99a1:SHA-256

[23-Mar-2022 (14:27:56)] ➝ Invalid message, repeated nonce ➝ a:b:500:0812740ae47c44e5913242d026859914:ee462715df462baeb439edbeb7fa4f01e8b8f83b90d9b5d2877b226a5a5b99a1:SHA-256

[23-Mar-2022 (14:27:57)] ➝ Invalid message, repeated nonce ➝ a:b:500:0812740ae47c44e5913242d026859914:ee462715df462baeb439edbeb7fa4f01e8b8f83b90d9b5d2877b226a5a5b99a1:SHA-256

[23-Mar-2022 (14:27:57)] ➝ Invalid message, repeated nonce ➝ a:b:500:0812740ae47c44e5913242d026859914:ee462715df462baeb439edbeb7fa4f01e8b8f83b90d9b5d2877b226a5a5b99a1:SHA-256

[23-Mar-2022 (14:32:05)] ➝ Invalid message, HMAC is different ➝ a:b:1000:3e8b6db9794b42b4b66e894cc186f202:75d17f9eb13d1838d28ad39c3a8bfdbcd8ab4aa1baa446efc79c3d76f0e0d3e3:SHA-256

[23-Mar-2022 (14:34:00)] ➝ Invalid message, HMAC is different ➝ a:b:10000:45468c39d1bb4b56b230ffc39a951db3:a4ad743cd1e867a4bb020e17d468d3f2d158bf0ee9c375820d68f61bff25aa50d66b0ac12ec40902ef6839aff78d51bdfc3dd772e5d5a9df0a518e1c11ba1081:SHA-512

[23-Mar-2022 (14:34:20)] ➝ Invalid message, HMAC is different ➝ test:test2:500:501a0c6e8c8c44b2bdcfb3a2ca3f0969:d916d4fc78c8d6d311595a452e698036c6fbced069b14401c6c45f89f95804c2:SHA-256

[23-Mar-2022 (14:34:23)] ➝ Invalid message, repeated nonce ➝ test:test2:500:501a0c6e8c8c44b2bdcfb3a2ca3f0969:d916d4fc78c8d6d311595a452e698036c6fbced069b14401c6c45f89f95804c2:SHA-256

[23-Mar-2022 (14:34:23)] ➝ Invalid message, repeated nonce ➝ test:test2:500:501a0c6e8c8c44b2bdcfb3a2ca3f0969:d916d4fc78c8d6d311595a452e698036c6fbced069b14401c6c45f89f95804c2:SHA-256

[23-Mar-2022 (14:34:24)] ➝ Invalid message, repeated nonce ➝ test:test2:500:501a0c6e8c8c44b2bdcfb3a2ca3f0969:d916d4fc78c8d6d311595a452e698036c6fbced069b14401c6c45f89f95804c2:SHA-256

[23-Mar-2022 (14:34:24)] ➝ Invalid message, repeated nonce ➝ test:test2:500:501a0c6e8c8c44b2bdcfb3a2ca3f0969:d916d4fc78c8d6d311595a452e698036c6fbced069b14401c6c45f89f95804c2:SHA-256

[23-Mar-2022 (14:34:25)] ➝ Invalid message, repeated nonce ➝ test:test2:500:501a0c6e8c8c44b2bdcfb3a2ca3f0969:d916d4fc78c8d6d311595a452e698036c6fbced069b14401c6c45f89f95804c2:SHA-256

[23-Mar-2022 (14:39:54)] ➝ Invalid message, HMAC is different ➝ a:b:1000:7f49c8074dc1485a8474d4b7a8c6dd3a:11661edd98b1709c82e05857f8c4b51a9ffaa3ed74ec77b23e820ded14b23275:SHA-256

[23-Mar-2022 (14:42:15)] ➝ Invalid message, HMAC is different ➝ a:aleluya:500:377d8406c3084fb5b3bdce69613755bf:63efbcb0c3d41d3eb503d45b33816039e2a10af8fb3f297a39b2407381a75a80:SHA-256

[23-Mar-2022 (17:50:57)] ➝ Valid message ➝ a:b:500:9b6566e07c074cefbfc4c287fbabf821:7ae8051d9014212d6ba4f6e0407144b4b13d5e729eb9233a430d700ad418cdf2:SHA-256

[23-Mar-2022 (17:52:32)] ➝ Invalid message, HMAC is different ➝ a:b:10000:0b1caaf5928e45a0b7f821bef51b598e:3d1c685d2762e8b0cb35de1ac93b9c1e4aeb3c2684fc5a09ab8179817eff3881:SHA-256

[23-Mar-2022 (17:54:50)] ➝ Invalid message, HMAC is different ➝ a:v:1000000:c143608fd0b9462b83c46cc9bb38bf40:441de1d5e4f5d92b3281f2f2573f97bdba1b578b3b6034a36371b476bc58e0cd:1

[23-Mar-2022 (18:01:27)] ➝ Invalid message, HMAC is different ➝ a:b:100000:79b8b83c53e4469b8be496ab5982035f:24476891767ddc3d854b106609d3031e56934654360b72b5a83fa7d88d1d6a4806c804325df92c358878fdcae5bd979118ccb9eb0392a2073a0132012005f7f8:4

[23-Mar-2022 (18:03:34)] ➝ Invalid message, HMAC is different ➝ a:b:100000:88e91fb7af0342a1a346a6102e57b956:f91dfb93ee0dd8cfad25c53c8876b88ecab30f0c05c3a896974ebfc5aa7cd7de:1

[23-Mar-2022 (18:09:11)] ➝ Invalid message, HMAC is different ➝ a:b:50000:85a383349f3c4a5ebac7c2ab1d1b1cec:a87aa158161b14ad0179debbbcaf241c733004c1aa418a8d1afa5f9f9e3b6fd1:1

[23-Mar-2022 (18:12:55)] ➝ Invalid message, HMAC is different ➝ a:b:1000:f4686eccd9d3404dbf577bce9451ebe1:bce08b90feaa2b2196880953ab5dd8a44bc70a111e19cb2a1f26f2d7dd64cfd3:1

[23-Mar-2022 (18:15:37)] ➝ Valid message ➝ abc:test:200:bc4846df0178438f9aa8480abb0b12f5:217185faefeb23e02e7ec6963e36e4bd87509b64fd4df9e8e6f041802598d7c9:1

[23-Mar-2022 (18:18:14)] ➝ Valid message ➝ cuenta1:cuenta2:500:87ee189c283e43f989b2d0005bc48957:643040533e47c2d1881c0f6df8ca61ebaebe6a7e90d50e0b4d978fc9797c95b6:1

[23-Mar-2022 (18:19:25)] ➝ Valid message ➝ a:b:500:e453277d1b7b42959c1cca2760e8d29e:0f3e3d6a4950b5329819b16d668000a57f1c99d466cfc3a8a83b039655bcb23c:1

[23-Mar-2022 (18:19:54)] ➝ Valid message ➝ a:b:500:f8ef298b1baf44d69d5f6afd0128adaa:b2033bee8401543b0a15d10d034327d49d5e7e3cb0f592e9b0b8e1a2714ee27c:1

[23-Mar-2022 (18:19:57)] ➝ Invalid message, repeated nonce ➝ a:b:500:f8ef298b1baf44d69d5f6afd0128adaa:b2033bee8401543b0a15d10d034327d49d5e7e3cb0f592e9b0b8e1a2714ee27c:1

[23-Mar-2022 (18:20:01)] ➝ Invalid message, repeated nonce ➝ a:b:500:f8ef298b1baf44d69d5f6afd0128adaa:b2033bee8401543b0a15d10d034327d49d5e7e3cb0f592e9b0b8e1a2714ee27c:1

[23-Mar-2022 (18:20:04)] ➝ Invalid message, repeated nonce ➝ a:b:500:f8ef298b1baf44d69d5f6afd0128adaa:b2033bee8401543b0a15d10d034327d49d5e7e3cb0f592e9b0b8e1a2714ee27c:1

[23-Mar-2022 (18:20:08)] ➝ Invalid message, repeated nonce ➝ a:b:500:f8ef298b1baf44d69d5f6afd0128adaa:b2033bee8401543b0a15d10d034327d49d5e7e3cb0f592e9b0b8e1a2714ee27c:1

[23-Mar-2022 (18:20:11)] ➝ Invalid message, repeated nonce ➝ a:b:500:f8ef298b1baf44d69d5f6afd0128adaa:b2033bee8401543b0a15d10d034327d49d5e7e3cb0f592e9b0b8e1a2714ee27c:1

[23-Mar-2022 (18:20:15)] ➝ Invalid message, repeated nonce ➝ a:b:500:f8ef298b1baf44d69d5f6afd0128adaa:b2033bee8401543b0a15d10d034327d49d5e7e3cb0f592e9b0b8e1a2714ee27c:1

[23-Mar-2022 (18:20:18)] ➝ Invalid message, repeated nonce ➝ a:b:500:f8ef298b1baf44d69d5f6afd0128adaa:b2033bee8401543b0a15d10d034327d49d5e7e3cb0f592e9b0b8e1a2714ee27c:1

[23-Mar-2022 (18:20:22)] ➝ Invalid message, repeated nonce ➝ a:b:500:f8ef298b1baf44d69d5f6afd0128adaa:b2033bee8401543b0a15d10d034327d49d5e7e3cb0f592e9b0b8e1a2714ee27c:1

[23-Mar-2022 (18:20:25)] ➝ Invalid message, repeated nonce ➝ a:b:500:f8ef298b1baf44d69d5f6afd0128adaa:b2033bee8401543b0a15d10d034327d49d5e7e3cb0f592e9b0b8e1a2714ee27c:1

[23-Mar-2022 (18:20:29)] ➝ Invalid message, repeated nonce ➝ a:b:500:f8ef298b1baf44d69d5f6afd0128adaa:b2033bee8401543b0a15d10d034327d49d5e7e3cb0f592e9b0b8e1a2714ee27c:1

[23-Mar-2022 (18:22:56)] ➝ Valid message ➝ abc:def:500:4564427df2524712bdf976d755563676:141a4d3134ddcfa5b85a0333141278bd618de225c4c377e82ab94a15a6071da6:1

[23-Mar-2022 (18:23:15)] ➝ Valid message ➝ abc:def:500:1d376b05c36f404cb97fd1bf9815e155:4ac06524085dbf693510e3f6c83965502c25668634ece9675970e65a674ff673f5f496e3484399d23ee7b5eaf6b46f27487e1ed3b3518845d361dfb496c30c33:4

[23-Mar-2022 (18:23:21)] ➝ Valid message ➝ a:e:2:fc1b0a7b27ac4ac8a715310ca51d6cef:b307f0708d76d58413d7c927bbb54b58a3f28c3916e984d2b4b322ba33de8f32:3

[23-Mar-2022 (18:23:26)] ➝ Valid message ➝ a:c:3:8bd08de0f89d43f6b49b971d6dd983a1:2822d3c250d544e259c27517be7e5b350cf6b59a2c7c4c771f33a47cce3965c91f077fcacd201bb91fc0bb5d1550bd3bf38e2d7492543aa9d74ea0e602e6bd0e:2

[23-Mar-2022 (18:23:58)] ➝ Valid message ➝ a:b:500:f626e84c5d3f43efbdcb6d6e71f32d22:b8dc9cfa3281bb1c7abae31c79e9a7e98d002f38ff402d6687b105a65dda584d:1

[23-Mar-2022 (18:24:01)] ➝ Invalid message, repeated nonce ➝ a:b:500:f626e84c5d3f43efbdcb6d6e71f32d22:b8dc9cfa3281bb1c7abae31c79e9a7e98d002f38ff402d6687b105a65dda584d:1

[23-Mar-2022 (18:24:04)] ➝ Invalid message, repeated nonce ➝ a:b:500:f626e84c5d3f43efbdcb6d6e71f32d22:b8dc9cfa3281bb1c7abae31c79e9a7e98d002f38ff402d6687b105a65dda584d:1

[23-Mar-2022 (18:24:08)] ➝ Invalid message, repeated nonce ➝ a:b:500:f626e84c5d3f43efbdcb6d6e71f32d22:b8dc9cfa3281bb1c7abae31c79e9a7e98d002f38ff402d6687b105a65dda584d:1

[23-Mar-2022 (18:24:11)] ➝ Invalid message, repeated nonce ➝ a:b:500:f626e84c5d3f43efbdcb6d6e71f32d22:b8dc9cfa3281bb1c7abae31c79e9a7e98d002f38ff402d6687b105a65dda584d:1

[23-Mar-2022 (18:24:15)] ➝ Invalid message, repeated nonce ➝ a:b:500:f626e84c5d3f43efbdcb6d6e71f32d22:b8dc9cfa3281bb1c7abae31c79e9a7e98d002f38ff402d6687b105a65dda584d:1

[23-Mar-2022 (18:24:47)] ➝ Valid message ➝ a:b:200:e1ab6c7f05f246fbbbef5a012229eb76:97b0e86c8474a80da9f796a2fa5d6e46bed4e4667348dd2c0a582228f37f2205:1

[23-Mar-2022 (18:24:48)] ➝ Invalid message, repeated nonce ➝ a:b:200:e1ab6c7f05f246fbbbef5a012229eb76:97b0e86c8474a80da9f796a2fa5d6e46bed4e4667348dd2c0a582228f37f2205:1

[23-Mar-2022 (18:24:50)] ➝ Invalid message, repeated nonce ➝ a:b:200:e1ab6c7f05f246fbbbef5a012229eb76:97b0e86c8474a80da9f796a2fa5d6e46bed4e4667348dd2c0a582228f37f2205:1

[23-Mar-2022 (18:24:51)] ➝ Invalid message, repeated nonce ➝ a:b:200:e1ab6c7f05f246fbbbef5a012229eb76:97b0e86c8474a80da9f796a2fa5d6e46bed4e4667348dd2c0a582228f37f2205:1

[23-Mar-2022 (18:24:53)] ➝ Invalid message, repeated nonce ➝ a:b:200:e1ab6c7f05f246fbbbef5a012229eb76:97b0e86c8474a80da9f796a2fa5d6e46bed4e4667348dd2c0a582228f37f2205:1

[23-Mar-2022 (18:24:54)] ➝ Invalid message, repeated nonce ➝ a:b:200:e1ab6c7f05f246fbbbef5a012229eb76:97b0e86c8474a80da9f796a2fa5d6e46bed4e4667348dd2c0a582228f37f2205:1

[23-Mar-2022 (18:25:23)] ➝ Invalid message, HMAC is different ➝ a:caca:2000000:df1a32d7ba75425a95e540978ef21f12:1f720f671a0e29475effafe48bcc29e76e05b97279fdd125091bc6a8d2f0fdfe:1

[23-Mar-2022 (18:40:49)] ➝ Valid message ➝ sdv:sdfe:233:d5a57b049f4f4cf382a937f677474862:13b2eeb940145091b4c83ca1c756603af671a874d5ee0772dff36adbcf32a88c:3

[23-Mar-2022 (18:41:32)] ➝ Valid message ➝ sdgv:sdf:232:7bd0ba9c199043298def8337cb050987:70ffab09276398ab1ac09273d09cbaf077fbd094b47e56ef0306f18ff8ebb0e54e0a594d8350767fa358ce51137029006298e5045ade7a886a417867fbbd5b5b:2

[23-Mar-2022 (18:42:44)] ➝ Valid message ➝ sdf:sdf:100:2659ccaa9d01470dad6f5c2e619d3cd5:74d8075d21fcfe5c099e6793d181cee4a07843dc68104100711c18090524eb3349c0c7bf128b47852427818b4b8e97bf2c1474305b46e83ea1e6100378b152cd:4

[23-Mar-2022 (18:52:00)] ➝ Valid message ➝ sdfsdf:sdf:sdf:d1352ba09fc040c7b2f0cd614043a37a:9f8c655a0bf8d64ff97d8e99e2fa407fa4f368cfc2e34315a68b922d942f3cbeeec9d97245085b38bb521b4cf75dff8253e42069842ef07e5f9db4a454a56cf4:2

[23-Mar-2022 (18:52:57)] ➝ Invalid message, HMAC is different ➝ sdfsdf:sdgsfb:2321:d2788e153ea34329829d523d5cbadc2a:70ad766ba42397801f11b79f564bc9e909245bcf7dc6298dedb61fa90dbf71f4b3608d71f69d0209248f7bb3b7295dd5ae2c3e73c3767f5b87584cd919573fac:2

